key,created,agency,agency_name,complaint_type,descriptor,incident_zip,city,latitude,longitude
32482532,2016-01-22 16:51:00 UTC,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),10033,NEW YORK,40.853573727207696,-73.935440041245968
27774914,2014-04-03 16:37:44 UTC,DOF,Commercial Exemption Unit,DOF Property - Reduction Issue,Commercial Not For Profit Exemption,10454,BRONX,,
32560159,2016-01-30 02:11:37 UTC,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10009,NEW YORK,40.724664593196835,-73.980265406248037
29651883,2015-01-06 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,10011,NEW YORK,40.741680936440744,-73.995730898201117
33625527,2016-06-17 17:49:11 UTC,NYPD,New York City Police Department,Blocked Driveway,No Access,10466,BRONX,40.893899269014149,-73.844025237495828
18862585,2010-10-09 10:42:49 UTC,DOT,Department of Transportation,Street Condition,Pothole,10306,STATEN ISLAND,40.579251153252493,-74.102821276989246
31507984,2015-09-10 04:27:39 UTC,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10469,BRONX,40.87601648917844,-73.851501693192418
20196410,2011-04-08 13:01:30 UTC,DPR,Department of Parks and Recreation,New Tree Request,For One Address,10314,STATEN ISLAND,40.608283253709857,-74.169681052373122
34765994,2016-11-12 02:32:40 UTC,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,10002,NEW YORK,40.712309238317658,-73.9943620745393
28791275,2014-08-31 22:13:43 UTC,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11218,BROOKLYN,40.638936226331154,-73.975624678129236
37081189,2017-09-01 08:26:00 UTC,DSNY,BCC - Queens West,Sanitation Condition,12 Dead Animals,11379,Middle Village,40.719401040143119,-73.8710966978908
35911278,2017-04-10 10:38:33 UTC,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,11429,QUEENS VILLAGE,40.705641315932382,-73.749412987571418
22985383,2012-04-01 00:00:00 UTC,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,11226,BROOKLYN,40.643086909337349,-73.951444507505755
32739157,2016-02-21 19:33:32 UTC,NYPD,New York City Police Department,Animal Abuse,Neglected,10472,BRONX,40.830029610933046,-73.867850645219889
21772940,2011-10-30 10:01:34 UTC,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,10309,STATEN ISLAND,40.545725479414351,-74.217409774091351
28940217,2014-09-23 13:27:50 UTC,DOB,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,11215,BROOKLYN,40.660760735132563,-73.97940485487122
34764508,2016-11-12 21:28:47 UTC,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,10312,STATEN ISLAND,40.533787237636453,-74.195055690656048
25528948,2013-05-12 18:19:00 UTC,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),11361,Bayside,40.769739135459766,-73.770168974488669
27449943,2014-02-16 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11225,BROOKLYN,40.665153156065017,-73.953735368492843
23200605,2012-05-09 10:17:27 UTC,DPR,Department of Parks and Recreation,Dead Tree,Dead/Dying Tree,11209,BROOKLYN,40.629651039368156,-74.033562292384659
32525256,2016-01-25 13:32:35 UTC,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,10452,BRONX,40.834848330555566,-73.920638170384862
22576904,2012-01-23 11:48:00 UTC,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),11367,Flushing,40.730990722763522,-73.827982326667
19325643,2010-12-12 03:07:07 UTC,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10025,NEW YORK,40.800238973710911,-73.9611686474473
35927555,2017-04-12 20:16:36 UTC,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,10459,BRONX,40.830764313358074,-73.890596440695688
23195999,2012-05-08 05:38:49 UTC,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11237,BROOKLYN,40.698622878912651,-73.91148144879611
27299677,2014-01-30 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11237,BROOKLYN,40.695463667153838,-73.911503674219432
36778733,2017-07-23 17:43:00 UTC,DSNY,BCC - Staten Island,Missed Collection (All Materials),1 Missed Collection,10312,STATEN ISLAND,40.541830921298548,-74.175499265809634
37856478,2017-12-05 15:37:49 UTC,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,11237,BROOKLYN,40.700619855963531,-73.9134948236947
20310020,2011-04-26 00:00:00 UTC,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11233,BROOKLYN,40.67159617255038,-73.916589437813315
36738057,2017-07-19 23:47:38 UTC,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10031,NEW YORK,40.821591404200568,-73.95691808919959
19612750,2011-01-16 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10461,BRONX,40.855706695591508,-73.8588491368562
35905642,2017-04-09 03:50:48 UTC,NYPD,New York City Police Department,Blocked Driveway,No Access,10457,BRONX,40.846268237801873,-73.901735775722784
21948970,2011-11-23 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11229,BROOKLYN,40.606481061508767,-73.954950083757069
26664916,2013-11-11 00:00:00 UTC,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11420,South Ozone Park,40.678597175375984,-73.827061117293567
36604884,2017-07-03 09:51:00 UTC,DSNY,BCC - Queens West,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,11385,Ridgewood,40.692563373812135,-73.896189015056365
26978130,2013-12-24 18:16:18 UTC,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10467,BRONX,40.875817863251449,-73.876242758799378
21440382,2011-09-14 11:33:00 UTC,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11106,ASTORIA,40.754975158119208,-73.931056300843792
34944641,2016-12-06 15:11:37 UTC,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,10458,BRONX,40.867220092043908,-73.885539810124044
23501513,2012-06-26 07:10:06 UTC,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,10455,BRONX,40.817004657124329,-73.899210287940065
18706014,2010-09-17 20:43:54 UTC,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,11365,FRESH MEADOWS,40.745485110227747,-73.783627325636346
35964043,2017-04-17 10:02:41 UTC,DFTA,Department for the Aging,Transportation Provider Complaint,N/A,10466,BRONX,40.882067841650112,-73.836758848595537
33887741,2016-07-20 20:51:39 UTC,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,10463,BRONX,40.87761955641205,-73.900116442597366
16657406,2010-05-14 09:58:45 UTC,DCA,Department of Consumer Affairs,DCA / DOH New License Application Request,General Street Vendor License,,,,
28320239,2014-06-23 00:00:00 UTC,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,11205,BROOKLYN,40.693570909682293,-73.964602479644768
