start_station_name,start_station_latitude,start_station_longitude,end_station_name,end_station_latitude,end_station_longitude
1 Ave & E 15 St,40.73221853,-73.98165557,1 Ave & E 18 St,40.733812192,-73.980544209
1 Ave & E 16 St,40.73221853,-73.98165557,Mott St & Prince St,40.72317958,-73.99480012
1 Ave & E 30 St,40.74144387,-73.97536082,E 39 St & 2 Ave,40.74780373,-73.9734419
1 Ave & E 62 St,40.7612274,-73.96094022,E 75 St & 3 Ave,40.77112927,-73.95772297
2 Ave & E 31 St,40.74290902,-73.97706058,9 Ave & W 14 St,40.7405826,-74.00550867
2 Ave & E 99 St,40.7862586,-73.94552579,3 Ave & E 112 St,40.795508,-73.941606
3 St & 3 Ave,40.6750705,-73.98775226,10 St & 7 Ave,40.6662078,-73.98199886
3 St & Prospect Park West,40.668132,-73.97363831,3 St & Prospect Park West,40.668132,-73.97363831
6 Ave & Broome St,40.724399,-74.004704,Forsyth St & Broome St,40.71893904,-73.99266288
6 Ave & W 33 St,40.74901271,-73.98848395,W 37 St & 5 Ave,40.75038009,-73.98338988
8 Ave & W 31 St,40.750967349,-73.994442075,E 30 St & Park Ave S,40.74444921,-73.98303529
8 Ave & W 52 St,40.76370739,-73.9851615,Central Park S & 6 Ave,40.76590936,-73.97634151
9 Ave & W 22 St,40.7454973,-74.00197139,Howard St & Centre St,40.71910537,-73.99973337
11 Ave & W 41 St,40.76030096,-73.99884222,W 34 St & 11 Ave,40.75594159,-74.0021163
12 Ave & W 40 St,40.76087502,-74.00277668,W 42 St & 8 Ave,40.7575699,-73.99098507
Allen St & E Houston St,40.722055,-73.989111,Mott St & Prince St,40.72317958,-73.99480012
Allen St & Hester St,40.71605866,-73.99190759,Greenwich St & N Moore St,40.72043411,-74.01020609
Amsterdam Ave & W 73 St,40.77966809,-73.980930448,E 85 St & 3 Ave,40.77801203,-73.95407149
Avenue D & E 8 St,40.72368361,-73.97574813,Broadway & W 24 St,40.7423543,-73.98915076
Avenue D & E 12 St,40.72580614,-73.97422494,1 Ave & E 16 St,40.73221853,-73.98165557
Bank St & Hudson St,40.73652889,-74.00618026,MacDougal St & Prince St,40.72710258,-74.00297088
Bank St & Washington St,40.7361967,-74.00859207,W 4 St & 7 Ave S,40.73401143,-74.00293877
Barclay St & Church St,40.71291224,-74.01020234,Clinton St & Tillary St,40.696192,-73.991218
Barrow St & Hudson St,40.73172428,-74.00674436,Bayard St & Baxter St,40.71602118,-73.99974372
